Chromosome,Start,End,GeneID,Description,Strand
chr1,408677898,408681384,Niat3g_16127,Dna repair protein xrcc4,+
chr1,408768050,408769599,Niat3g_16128,"Syntaxin, putative",+
chr1,408843198,408843519,Niat3g_16130,"Transmembrane protein, putative",-
chr1,408869511,408871373,Niat3g_16131,Serinethreonine-protein kinase blus1,-
chr1,408909405,408909969,Niat3g_16132,Transcriptional regulator superman,+
chr1,409104778,409105150,Niat3g_16133,Reverse transcriptase domain-containing protein,+
chr1,409173823,409182294,Niat3g_16138,Ethylene receptor,+
chr1,409291183,409291531,Niat3g_16141,Unknown protein,-
chr1,409474914,409476069,Niat3g_16142,"Enoyl-coa delta isomerase 2, peroxisomal",+
chr1,409553141,409556061,Niat3g_16145,HR-like lesion-inducer,-
chr1,409663581,409665546,Niat3g_16146,1-aminocyclopropane-1-carboxylate oxidase-like 1,+
chr1,409670141,409671980,Niat3g_16147,1-aminocyclopropane-1-carboxylate oxidase-like 1,+
chr1,409672071,409681227,Niat3g_16148,transcription factor bHLH104,-
chr1,409720578,409721172,Niat3g_16150,CCHC-type domain-containing protein,+
chr1,409728778,409729042,Niat3g_16151,ANK_REP_REGION domain-containing protein,+
chr1,409740982,409741735,Niat3g_16152,Ring-h2 finger protein atl16,-
chr1,409768242,409770371,Niat3g_16153,Unknown protein,+
chr1,409841508,409845734,Niat3g_16154,Pectin acetylesterase,-
chr1,409902258,409906504,Niat3g_16155,Serine/threonine-protein phosphatase,+
chr1,409987603,409989733,Niat3g_16157,Phosphoenolpyruvate carboxylase kinase 1,+
chr1,410140703,410142637,Niat3g_16158,Myb-related transcription factor,+
chr1,410219822,410223194,Niat3g_16159,Malate dehydrogenase,-
chr1,410223464,410232795,Niat3g_16160,Aldo_ket_red domain-containing protein,+
chr1,410235368,410241683,Niat3g_16161,Nuclear-pore anchor,-
chr1,410414770,410417699,Niat3g_16162,Peroxisomal membrane protein pmp22,+
chr1,410490732,410491791,Niat3g_16163,glycine-rich cell wall structural protein-like,+
chr1,410500502,410504558,Niat3g_16164,Acyl-[acyl-carrier-protein] desaturase,+
chr1,410515707,410519993,Niat3g_16166,Eukaryotic protein of unknown function (DUF842),+
chr1,410612345,410618151,Niat3g_16168,"O-linked n-acetylglucosamine transferase, ogt, putative",-
chr1,410731589,410735086,Niat3g_16169,proteasome assembly chaperone 4-like,+
chr1,410737168,410737603,Niat3g_16170,prefoldin 2,-
chr1,410755850,410762000,Niat3g_16172,Protein iq-domain 14,-
chr1,410806789,410808809,Niat3g_16174,Protein FAM9A like,-
chr1,411101784,411115924,Niat3g_16179,BAG-associated GRAM protein 1,+
chr1,411165149,411169903,Niat3g_16180,Sep15_SelM domain-containing protein,+
chr1,411172529,411181737,Niat3g_16181,2-isopropylmalate synthase b,-
chr1,411282065,411283417,Niat3g_16183,Protein C2-DOMAIN ABA-RELATED 7,-
chr1,411284388,411285564,Niat3g_16184,Pentatricopeptide repeat-containing protein At3g13150,+
chr1,411292988,411294170,Niat3g_16185,Pentatricopeptide repeat-containing protein At3g13150,-
chr1,411331564,411336183,Niat3g_16187,Signal recognition particle 14 kDa protein,+
chr1,411336838,411337983,Niat3g_16188,Endochitinase ep3,-
chr1,411372447,411374066,Niat3g_16189,Chitinase 4,+
chr1,411474019,411474835,Niat3g_16193,Rhomboid domain-containing protein,+
chr1,411476206,411481530,Niat3g_16194,Protein ENHANCED DISEASE RESISTANCE 2,-
chr1,411529836,411534812,Niat3g_16195,BZIP transcription factor family protein,-
chr1,411537020,411543113,Niat3g_16196,F-box protein skip16,-
chr1,411546200,411547196,Niat3g_16198,Integrase catalytic domain-containing protein,-
chr1,411574082,411574568,Niat3g_16203,Unknown protein,+
chr1,411631117,411645116,Niat3g_16210,Flowering time control protein fpa,-
chr1,411719386,411719788,Niat3g_16219,Unknown protein,+
chr1,411741422,411741992,Niat3g_16221,60S ribosomal protein L23,+
chr1,411772930,411773353,Niat3g_16222,60S ribosomal protein L23,+
chr1,411778027,411778480,Niat3g_16223,Unknown protein,+
chr1,411799981,411806381,Niat3g_16226,Lactamase_B domain-containing protein,-
chr1,411879291,411879965,Niat3g_16231,MAPK kinase substrate protein,-
chr1,411939894,411940128,Niat3g_16237,Unknown protein,+
chr1,412003688,412003997,Niat3g_16243,Unknown protein,+
chr1,412021684,412021948,Niat3g_16246,Unknown protein,+
chr1,412153295,412155449,Niat3g_16257,GDSL esterase/lipase,+
chr1,412155982,412161375,Niat3g_16258,Plant protein of unknown function (DUF936),-
chr1,412295478,412296222,Niat3g_16261,ribosomal RNA processing protein 36 homolog,-
chr1,412331411,412346258,Niat3g_16263,ASCH domain-containing protein,-
chr1,412386601,412388195,Niat3g_16265,MPN domain-containing protein,-
chr1,412512480,412519954,Niat3g_16267,Cop9 signalosome complex subunit 5b,-
chr1,412527269,412527865,Niat3g_16268,early nodulin-like protein 3,+
chr1,412529113,412534524,Niat3g_16269,MPN domain-containing protein,-
chr1,412644490,412645000,Niat3g_16270,H/ACA ribonucleoprotein complex subunit like,+
chr1,412660775,412661094,Niat3g_16271,Unknown protein,-
chr1,412739144,412742065,Niat3g_16274,Zinc finger B-box protein,+
chr1,412743032,412747867,Niat3g_16275,Fructokinase-2,-
chr1,412878152,412883253,Niat3g_16276,Integrase catalytic domain-containing protein,+
chr1,412892954,412894927,Niat3g_16278,Protein FAR1-RELATED SEQUENCE 5,+
chr1,413050785,413051549,Niat3g_16281,stigma-specific STIG1-like protein 2,+
chr1,413103361,413103837,Niat3g_16283,Retrovirus-related Pol polyprotein from transposon RE1,-
chr1,413136958,413161291,Niat3g_16285,tRNA-dihydrouridine(20) synthase [NAD(P)+]-like,+
chr1,413162408,413165554,Niat3g_16286,SASA domain-containing protein,-
chr1,413174606,413183181,Niat3g_16287,Endonuclease III homolog,+
chr1,413183977,413190479,Niat3g_16289,protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,-
chr1,413413657,413414188,Niat3g_16297,ATP-dependent DNA helicase,+
chr1,413753992,413754920,Niat3g_16301,Unknown protein,+
chr1,413790850,413791153,Niat3g_16308,Unknown protein,+
chr1,413844141,413844447,Niat3g_16314,Unknown protein,-
chr1,413845283,413846708,Niat3g_16315,UBA domain-containing protein,+
chr1,413847102,413847821,Niat3g_16316,Unknown protein,+
chr1,413955528,413955930,Niat3g_16330,swi5-dependent recombination DNA repair protein 1 homolog,+
chr1,413957106,413957752,Niat3g_16332,Unknown protein,+
chr1,414122860,414125408,Niat3g_16340,Amino_oxidase domain-containing protein,+
chr1,414133522,414138372,Niat3g_16341,"succinate dehydrogenase subunit 7A, mitochondrial",-
chr1,414147163,414151853,Niat3g_16342,Calcium-dependent protein kinase,+
chr1,414152373,414176359,Niat3g_16343,RBR-type E3 ubiquitin transferase,-
chr1,414218799,414220164,Niat3g_16346,Integrase catalytic domain-containing protein,+
chr1,414221624,414222839,Niat3g_16347,DNA/RNA polymerases superfamily protein,+
chr1,414223076,414223529,Niat3g_16348,Integrase catalytic domain-containing protein,+
chr1,414229655,414229940,Niat3g_16350,Transposon Ty3-I Gag-Pol polyprotein,+
chr1,414233274,414234987,Niat3g_16351,Reverse transcriptase domain-containing protein,+
chr1,414268747,414271326,Niat3g_16357,Lysine--tRNA ligase,+
chr1,414284120,414284741,Niat3g_16359,BED-type domain-containing protein,+
chr1,414284954,414286805,Niat3g_16360,Dimer_Tnp_hAT domain-containing protein,+
chr1,414296158,414296389,Niat3g_16361,RING-type E3 ubiquitin transferase,+
chr1,414297228,414299982,Niat3g_16362,Gdp-l-galactose phosphorylase 1,-
chr1,414407862,414408279,Niat3g_16374,Unknown protein,+
chr1,414416986,414418127,Niat3g_16377,RNase H domain-containing protein,+
chr1,414515480,414520902,Niat3g_16385,Unknown protein,-
chr1,414523840,414524505,Niat3g_16387,Unknown protein,-
chr1,414549139,414549848,Niat3g_16390,Unknown protein,-
chr1,414556874,414557162,Niat3g_16393,Unknown protein,-
chr1,414595783,414596014,Niat3g_16395,"Harbinger transposase-derived protein, plant",-
chr1,414596419,414596647,Niat3g_16396,glutathione S-transferase T3,+
chr1,414614954,414615251,Niat3g_16399,Unknown protein,+
chr1,414639170,414640091,Niat3g_16402,Integrase catalytic domain-containing protein,-
chr1,414640117,414640870,Niat3g_16403,Integrase catalytic domain-containing protein,-
chr1,414646160,414647510,Niat3g_16404,Retrovirus-related Pol polyprotein from transposon TNT 1-94,-
chr1,414668135,414668627,Niat3g_16406,RING-type domain-containing protein,-
chr1,414668932,414669397,Niat3g_16407,histone-lysine N-methyltransferase 2D-like,-
chr1,414674647,414675136,Niat3g_16408,Unknown protein,-
chr1,414682986,414683308,Niat3g_16409,RNase H domain-containing protein,+
chr1,414700369,414700774,Niat3g_16411,Unknown protein,-
chr1,414721060,414721921,Niat3g_16415,Receptor-like serine/threonine-protein kinase,-
chr1,414724769,414725678,Niat3g_16417,Integrase catalytic domain-containing protein,-
chr1,414734239,414734803,Niat3g_16419,zf-RVT domain-containing protein,-
chr1,414734500,414734852,Niat3g_16420,Unknown protein,+
chr1,414757760,414758162,Niat3g_16427,"50S ribosomal protein L2, chloroplastic",+
chr1,414760090,414760756,Niat3g_16428,"30S ribosomal protein S3, chloroplastic",+
chr1,414787628,414788554,Niat3g_16432,RING-type domain-containing protein,+
chr1,415042529,415042916,Niat3g_16437,Unknown protein,+
chr1,415240155,415240422,Niat3g_16447,Unknown protein,-
chr1,415391390,415393214,Niat3g_16469,Unknown protein,-
chr1,415396715,415398351,Niat3g_16470,Unknown protein,+
chr1,415403090,415403516,Niat3g_16471,mucin-7-like,-
chr1,415422545,415423806,Niat3g_16477,U-box domain-containing protein 1,+
chr1,415495164,415495713,Niat3g_16482,RING-type E3 ubiquitin transferase,+
chr1,415533553,415535338,Niat3g_16484,protein SHI RELATED SEQUENCE 1-like,-
chr1,415586406,415587713,Niat3g_16486,40S ribosomal protein S18-like,+
chr1,415589111,415593980,Niat3g_16487,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein isoform 1,-
chr1,415622167,415622446,Niat3g_16491,Unknown protein,-
chr1,415643765,415644191,Niat3g_16495,Unknown protein,-
chr1,415717048,415717327,Niat3g_16502,Unknown protein,-
chr1,415742848,415745252,Niat3g_16507,"Soluble starch synthase 3, chloroplastic/amyloplastic",-
chr1,415863624,415865440,Niat3g_16512,60S ribosomal protein L9-1,+
chr1,415874371,415874689,Niat3g_16516,Unknown protein,+
chr1,415875768,415876129,Niat3g_16517,"Gag-pol polyprotein, putative",+
chr1,415877310,415878009,Niat3g_16518,Retrotrans_gag domain-containing protein,+
chr1,415878329,415879121,Niat3g_16519,CCHC-type domain-containing protein,+
chr1,415879468,415881504,Niat3g_16520,RNA-directed DNA polymerase homolog,+
chr1,415886955,415889278,Niat3g_16522,Unknown protein,+
chr1,415937069,415937477,Niat3g_16526,60S ribosomal protein L27,+
chr1,415964849,415965635,Niat3g_16527,"tetrapyrrole-binding protein, chloroplastic-like",-
chr1,415974827,415981930,Niat3g_16528,"Ll-diaminopimelate aminotransferase, chloroplastic",-
chr1,416030372,416035036,Niat3g_16530,Golgi apparatus membrane protein TVP23,+
chr1,416135385,416139694,Niat3g_16531,"Chloroplast stem-loop binding protein of 41 kDa b, chloroplastic",+
chr1,416146873,416147326,Niat3g_16533,Calmodulin-like protein 3,+
chr1,416287225,416293671,Niat3g_16535,Inositol transporter 1,-
chr1,416304079,416310412,Niat3g_16536,Gamma-secretase subunit aph1-like protein,-
chr1,416340840,416341226,Niat3g_16537,Retrovirus-related pol polyprotein from transposon tnt 1-94,+
chr1,416344607,416348221,Niat3g_16538,40S ribosomal protein S29,+
chr1,416564828,416565754,Niat3g_16539,Protein of unknown function (DUF1685),+
chr1,416577239,416586410,Niat3g_16540,Glutathione peroxidase,-
chr1,416579563,416581746,Niat3g_16541,DUF4283 domain-containing protein,+
chr1,416581971,416583628,Niat3g_16542,Transposon TX1 putative 149 kDa protein,+
chr1,416684150,416692001,Niat3g_16543,Biotin synthase,-
chr1,416696018,416697902,Niat3g_16547,Anthranilate phosphoribosyltransferase,-
chr1,416747050,416747401,Niat3g_16554,Unknown protein,-
chr1,416773608,416774051,Niat3g_16555,Integrase catalytic domain-containing protein,+
chr1,416818831,416819170,Niat3g_16557,"Organellar oligopeptidase A, chloroplastic/mitochondrial",-
chr1,416824809,416845050,Niat3g_16559,Pentatricopeptide repeat (PPR) superfamily protein,+
chr1,416846642,416854477,Niat3g_16560,solute carrier family 35 member F1-like isoform X1,-
chr1,417087888,417093582,Niat3g_16562,protein argonaute 4,+
chr1,417116065,417127520,Niat3g_16563,La-related protein 1a,+
chr1,417129168,417140145,Niat3g_16564,"Isovaleryl-CoA dehydrogenase, mitochondrial",-
chr1,417326778,417327936,Niat3g_16565,Aquaporin nip1-1,+
chr1,417359125,417364303,Niat3g_16566,Cysteine proteinase inhibitor,+
chr1,417360263,417361234,Niat3g_16567,Retrovirus-related Pol polyprotein from transposon TNT 1-94,+
chr1,417432570,417439335,Niat3g_16569,UBA domain-containing protein,+
chr1,417441756,417442849,Niat3g_16570,acylsugar acyltransferase 3-like,-
chr1,417521087,417523004,Niat3g_16571,Molybdopterin synthase catalytic subunit,-
chr1,417603039,417610494,Niat3g_16573,Protein kinase domain-containing protein,+
chr1,417610915,417612445,Niat3g_16574,"[fructose-bisphosphate aldolase]-lysine n-methyltransferase, chloroplastic",-
chr1,417614445,417619026,Niat3g_16575,Transcription factor gamyb,-
chr1,417747820,417748275,Niat3g_16576,zf-GRF domain-containing protein,+
chr1,417750876,417753489,Niat3g_16577,F-box/WD-40 repeat-containing protein,+
chr1,417757427,417765373,Niat3g_16578,Non-specific lipid transfer protein gpi-anchored 2,+
chr1,417807281,417814184,Niat3g_16579,protein FAR1-RELATED SEQUENCE 3-like,+
chr1,417866543,417866849,Niat3g_16587,Unknown protein,+
chr1,417872547,417876273,Niat3g_16589,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",+
chr1,417881025,417883482,Niat3g_16591,TFIIIC_delta domain-containing protein,-
chr1,417883544,417896265,Niat3g_16592,WD_REPEATS_REGION domain-containing protein,-
chr1,417901401,417901674,Niat3g_16593,Unknown protein,+
chr1,417911777,417913902,Niat3g_16594,60S ribosomal protein L30,+
chr1,417944413,417953830,Niat3g_16597,replication protein A 70 kDa DNA-binding subunit B-like isoform X1,+
chr1,418023161,418032982,Niat3g_16599,Transcription factor myb1r1,+
chr1,418116417,418118576,Niat3g_16601,"Glucan endo-1,3-beta-glucosidase 14",+
chr1,418157391,418160244,Niat3g_16602,Protein ethylene insensitive 3,-
chr1,418178264,418181611,Niat3g_16604,Protein ethylene insensitive 3,-
chr1,418447028,418451754,Niat3g_16605,beta-glucosidase BoGH3B-like,+
chr1,418510054,418510300,Niat3g_16610,Unknown protein,+
chr1,418511454,418511727,Niat3g_16611,Unknown protein,+
chr1,418557358,418563757,Niat3g_16617,Beta-glucosidase,+
chr1,418566198,418570877,Niat3g_16618,beta-glucosidase BoGH3B-like,+
chr1,418648587,418653566,Niat3g_16619,Structural maintenance of chromosomes protein,-
chr1,418653621,418665669,Niat3g_16620,Structural maintenance of chromosomes protein,-
chr1,418850244,418851032,Niat3g_16623,ABC transporter B family member,-
chr1,419173963,419177004,Niat3g_16627,40S ribosomal protein S11,-
chr1,419184654,419189955,Niat3g_16628,protein AIR1-like isoform X1,-
chr1,419547555,419548164,Niat3g_16636,Calcium-binding protein cml38,-
chr1,419628517,419635148,Niat3g_16637,Outer envelope protein 61,+
chr1,419636630,419637047,Niat3g_16639,Protein FAM110A like,-
chr1,419789791,419796363,Niat3g_16641,E3 ubiquitin-protein ligase RHF2A-like,+
chr1,419797128,419800904,Niat3g_16642,DNA-directed RNA polymerase II subunit 4-like,-
chr1,419809155,419819388,Niat3g_16646,"Succinate dehydrogenase subunit 6, mitochondrial",-
chr1,419848851,419855038,Niat3g_16648,Protein strictosidine synthase-like 3,+
chr1,419974804,419981058,Niat3g_16650,axial regulator YABBY 5-like isoform X2,+
chr1,420001017,420008746,Niat3g_16651,Unknown protein,+
chr1,420005226,420007291,Niat3g_16652,Unknown protein,+
chr1,420011590,420011894,Niat3g_16653,DUF1985 domain-containing protein,-
chr1,420024730,420036604,Niat3g_16654,Ubiquitin carboxyl-terminal hydrolase,-
chr1,420520899,420523059,Niat3g_16656,"Protein FAF-like, chloroplastic",-
chr1,420747520,420756657,Niat3g_16658,J domain-containing protein,+
chr1,420769795,420786906,Niat3g_16660,Serine/threonine-protein phosphatase,-
chr1,420808657,420808915,Niat3g_16665,Unknown protein,+
chr1,420845267,420845603,Niat3g_16670,Unknown protein,-
chr1,420848766,420849126,Niat3g_16671,DNA/RNA polymerases superfamily protein,+
chr1,420886005,420888588,Niat3g_16677,H15 domain-containing protein,+
chr1,420891616,420892690,Niat3g_16678,Glycosyltransferase BC10,-
chr1,420946947,420947292,Niat3g_16684,DNA/RNA polymerases superfamily protein,-
chr1,420957179,420976199,Niat3g_16687,Serine/threonine-protein phosphatase,-
chr1,421061086,421066257,Niat3g_16697,B3 domain-containing protein At3g06220-like isoform X1,+
chr1,421145883,421147500,Niat3g_16702,Leucine-rich repeat extensin-like protein 3,-
chr1,421148871,421150146,Niat3g_16704,RING-type E3 ubiquitin transferase,-
chr1,421199196,421206396,Niat3g_16709,R3H and coiled-coil domain-containing protein 1 isoform X1,-
chr1,421224141,421227725,Niat3g_16711,Bel1-like homeodomain protein 1,-
chr1,421266983,421267241,Niat3g_16716,Unknown protein,+
chr1,421449906,421450236,Niat3g_16737,Unknown protein,+
chr1,421497615,421497903,Niat3g_16745,Unknown protein,+
chr1,421578174,421585775,Niat3g_16754,Cytoplasmic tRNA 2-thiolation protein 2,-
chr1,421694749,421695172,Niat3g_16758,Unknown protein,+
chr1,421725444,421725753,Niat3g_16760,Ring-h2 finger protein atl16,+
chr1,421766253,421766673,Niat3g_16764,leucine-rich repeat extensin-like protein 2,+
chr1,421787888,421788134,Niat3g_16767,Unknown protein,+
chr1,421863540,421867651,Niat3g_16774,Receptor-like kinase tmk3,-
chr1,422066719,422066980,Niat3g_16789,"Gag-pol polyprotein, putative",+
chr1,422168808,422172690,Niat3g_16791,Histone deacetylase 8,-
chr1,422194054,422200918,Niat3g_16792,7-dehydrocholesterol reductase,+
chr1,422204465,422210454,Niat3g_16793,transcription factor LHW-like,-
chr1,422424604,422426274,Niat3g_16795,Unknown protein,+
chr1,422424642,422425533,Niat3g_16796,Retrovirus-related Pol polyprotein from transposon TNT 1-94,-
chr1,422464619,422465279,Niat3g_16797,Iaa-amino acid hydrolase ilr1-like 3,+
chr1,422466980,422467855,Niat3g_16798,Iaa-amino acid hydrolase ilr1-like 3,+
chr1,422470726,422471908,Niat3g_16799,Iaa-amino acid hydrolase ilr1-like 3,+
chr1,422532731,422533481,Niat3g_16800,LEA_2 domain-containing protein,+
chr1,422538587,422539223,Niat3g_16802,LEA_2 domain-containing protein,+
chr1,422766485,422772450,Niat3g_16804,Ubiquitin-conjugating enzyme E2 variant 1D,+
chr1,422808466,422809276,Niat3g_16806,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein",+
chr1,422897018,422897323,Niat3g_16807,OVATE domain-containing protein,+
chr1,422907292,422912585,Niat3g_16808,Transcription factor e2fb,-
chr1,423011406,423012789,Niat3g_16810,aspartic proteinase nepenthesin-2-like,+
chr1,423099629,423100309,Niat3g_16812,DNA gyrase inhibitor YacG,-
chr1,423219208,423219769,Niat3g_16815,Potassium transporter,-
chr1,423226095,423232198,Niat3g_16817,NAC domain-containing protein,-
chr1,423289865,423290317,Niat3g_16819,cytochrome P450 89A2-like,+
chr1,423291277,423294004,Niat3g_16818,FK506-binding protein 5-like isoform X1,-
chr1,423334083,423343390,Niat3g_16823,Mrna-decapping enzyme-like protein,-
chr1,423347937,423355293,Niat3g_16824,OTU domain-containing protein 5-like,-
chr1,423365448,423366918,Niat3g_16825,CASP-like protein,-
chr1,423368512,423370012,Niat3g_16826,"Lycopene beta cyclase, chloroplastic",-
chr1,423372390,423376050,Niat3g_16827,vesicle-associated membrane protein 714-like,-
chr1,423550228,423550597,Niat3g_16828,NADH-ubiquinone oxidoreductase chain 5,-
chr1,423588557,423589777,Niat3g_16829,Pollen Ole e 1 allergen and extensin family protein,-
chr1,423638844,423639546,Niat3g_16830,"Protein of unknown function, DUF584",-
chr1,423675880,423676720,Niat3g_16831,protein FANTASTIC FOUR 1-like,-
chr1,423875110,423875566,Niat3g_16832,Ferredoxin,-
chr1,423879624,423881835,Niat3g_16833,Ribosomal protein,-
chr1,423890935,423893545,Niat3g_16834,Unknown protein,+
chr1,423894833,423901173,Niat3g_16835,Transmembrane 9 superfamily member,-
chr1,424088850,424095876,Niat3g_16837,transcription factor TGA2,+
chr1,424165964,424179909,Niat3g_16839,alpha/beta-Hydrolases superfamily protein,-
chr1,424377290,424379699,Niat3g_16840,AB hydrolase-1 domain-containing protein,+
chr1,424387586,424389128,Niat3g_16843,Glycosyltransferase,+
chr1,424416842,424418390,Niat3g_16844,Cytochrome p450 94b1,+
chr1,424490804,424491119,Niat3g_16845,Retrovirus-related Pol polyprotein from transposon TNT 1-94,-
chr1,424623072,424624485,Niat3g_16849,AB hydrolase-1 domain-containing protein,-
chr1,424625685,424627347,Niat3g_16851,Cytochrome p450 89a2,+
chr1,424702153,424703394,Niat3g_16853,Unknown protein,-
chr1,424845969,424848165,Niat3g_16854,Protein TERMINAL FLOWER 1,+
chr1,425013583,425016150,Niat3g_16857,Zinc finger protein wip3,+
chr1,425050900,425054884,Niat3g_16859,"Beta-1,6-galactosyltransferase",-
chr1,425133346,425137681,Niat3g_16861,S-adenosyl-L-methionine-dependent methyltransferase,-
chr1,425242007,425243263,Niat3g_16862,protein SUPPRESSOR OF K(+) TRANSPORT GROWTH DEFECT 1-like,+
chr1,425247379,425249171,Niat3g_16863,Unknown protein,+
chr1,425268493,425269267,Niat3g_16866,protein SUPPRESSOR OF K(+) TRANSPORT GROWTH DEFECT 1-like,+
chr1,425307807,425308092,Niat3g_16867,protein SUPPRESSOR OF K(+) TRANSPORT GROWTH DEFECT 1,+
chr1,425466548,425471480,Niat3g_16869,Protein suppressor of k(+) transport growth defect 1,+
chr1,425709409,425714426,Niat3g_16870,proteinaceous RNase P 2-like,+
chr1,425720840,425741489,Niat3g_16871,Fatty acyl-CoA reductase,-
chr1,425808855,425810322,Niat3g_16872,Cytochrome p450 94c1,+
chr1,425917432,425921261,Niat3g_16875,Peroxisomal membrane protein PEX16,+
chr1,425922889,425925199,Niat3g_16876,60s acidic ribosomal family protein,-
chr1,426002037,426007623,Niat3g_16877,Serinethreonine-protein kinase kipk,+
chr1,426033254,426034557,Niat3g_16880,60S ribosomal protein L13,+
chr1,426100278,426101187,Niat3g_16881,Plant protein of unknown function (DUF868),-
chr1,426146664,426147706,Niat3g_16882,Unknown protein,+
chr1,426191037,426202512,Niat3g_16883,2-carboxy-d-arabinitol-1-phosphatase,-
chr1,426276156,426281265,Niat3g_16885,Myb-like domain-containing protein,+
chr1,426290522,426290789,Niat3g_16886,Unknown protein,+
chr1,426296499,426296931,Niat3g_16887,pentatricopeptide repeat-containing protein At3g50420-like,+
chr1,426332578,426333877,Niat3g_16895,Arogenate dehydratase,+
chr1,426410184,426410460,Niat3g_16905,Transposon Ty3-I Gag-Pol polyprotein,+
chr1,426469350,426471481,Niat3g_16908,Coiled-coil domain-containing protein 96-like,+
chr1,426492090,426492800,Niat3g_16913,Unknown protein,+
chr1,426546345,426547979,Niat3g_16914,Unknown protein,+
chr1,426561307,426561625,Niat3g_16915,Unknown protein,+
chr1,426622155,426622413,Niat3g_16918,Unknown protein,+
chr1,426691250,426696179,Niat3g_16928,Glucomannan 4-beta-mannosyltransferase 2,-
chr1,426735415,426735751,Niat3g_16931,Unknown protein,+
chr1,426742840,426750341,Niat3g_16934,Ddt domain-containing protein ptm,+
chr1,426753800,426766306,Niat3g_16935,AP-2 complex subunit alpha,-
chr1,426769417,426769859,Niat3g_16937,SWIM-type domain-containing protein,-
chr1,426823994,426826860,Niat3g_16943,UDP-D-apiose/UDP-D-xylose synthase 2-like,-
chr1,426890895,426894585,Niat3g_16946,Phospholipid:diacylglycerol acyltransferase 1,+
chr1,426895367,426905094,Niat3g_16947,protein saal1-like isoform X1,-
chr1,427128349,427129675,Niat3g_16949,Agmatine coumaroyltransferase-2,-
chr1,427369982,427374434,Niat3g_16951,RRM domain-containing protein,+
chr1,427412490,427419365,Niat3g_16953,Argonaute 5,+
chr1,427420905,427432362,Niat3g_16954,Vacuolar protein sorting-associated protein 41 homolog,-
chr1,427493466,427495689,Niat3g_16955,cyclin-dependent protein kinase inhibitor SMR2,+
chr1,427508476,427509322,Niat3g_16956,Histone h2b.2,+
chr1,427686105,427686650,Niat3g_16958,60S ribosomal protein L23a,-
chr1,427730039,427730405,Niat3g_16960,Retrovirus-related Pol polyprotein from transposon RE1,-
chr1,427815523,427815967,Niat3g_16961,Histone H2B,+
chr1,427905225,427906164,Niat3g_16962,Zinc finger protein zat5,-
chr1,427987008,427987365,Niat3g_16963,T-complex protein 1 subunit theta,-
chr1,428065908,428074360,Niat3g_16964,DUF2146 domain-containing protein,+
chr1,428078504,428078879,Niat3g_16965,Unknown protein,+
chr1,428083803,428086847,Niat3g_16966,Tonoplast intrinsic protein 1,+
chr1,428180878,428185267,Niat3g_16968,Vacuolar protein sorting-associated protein 24-like 1,+
chr1,428247927,428250942,Niat3g_16970,Carboxypeptidase,+
chr1,428281879,428288867,Niat3g_16971,T-complex protein 1 subunit beta,-
chr1,428527287,428528938,Niat3g_16972,Transcription factor myb36,+
chr1,428878488,428880196,Niat3g_16973,Heavy metal-associated isoprenylated plant protein 3,+
chr1,428894189,428898330,Niat3g_16974,Abc transporter f family member 1,+
chr1,428906785,428907175,Niat3g_16975,Auxin-responsive protein saur32,-
chr1,428912831,428913272,Niat3g_16976,Unknown protein,-
chr1,428939967,428940303,Niat3g_16979,Unknown protein,-
chr1,428946226,428946466,Niat3g_16980,Unknown protein,-
chr1,428997234,428997895,Niat3g_16990,Unknown protein,+
chr1,429016136,429016370,Niat3g_16992,Unknown protein,-
chr1,429083064,429090074,Niat3g_16998,Dolichol kinase evan,-
chr1,429093249,429093555,Niat3g_16999,Unknown protein,-
chr1,429107343,429107703,Niat3g_17004,Unknown protein,-
chr1,429111871,429112135,Niat3g_17006,Unknown protein,-
chr1,429138765,429147367,Niat3g_17011,Abc transporter g family member 3,-
chr1,429207492,429213083,Niat3g_17013,Cell division cycle protein 48 homolog,+
chr1,429214493,429214829,Niat3g_17014,Maintenance of mitochondrial morphology protein like,-
chr1,429250874,429251311,Niat3g_17015,CCHC-type domain-containing protein,-
chr1,429303024,429304857,Niat3g_17016,High-affinity nitrate transporter 2.2,+
chr1,429575935,429577768,Niat3g_17017,High-affinity nitrate transporter 2.2,-
chr1,429960461,429961578,Niat3g_17022,MaoC-like domain-containing protein,+
chr1,429962762,429967031,Niat3g_17023,"Rubisco large subunit-binding protein subunit alpha, chloroplastic",-
chr1,429998324,430006824,Niat3g_17024,Abc transporter g family member 28,+
chr1,430142084,430144071,Niat3g_17026,Protein kinase domain-containing protein,+
chr1,430280881,430284622,Niat3g_17029,Cytokinin riboside 5'-monophosphate phosphoribohydrolase,-
chr1,430328812,430333223,Niat3g_17030,Nudix hydrolase,+
chr1,430336711,430338508,Niat3g_17031,Alpha carbonic anhydrase,-
chr1,430461368,430463190,Niat3g_17032,Carbonic anhydrase,-
chr1,430795428,430798512,Niat3g_17034,Glycosyltransferase family protein 2,+
chr1,430856956,430863017,Niat3g_17035,Protein of unknown function (DUF707),+
chr1,430869337,430883154,Niat3g_17036,Protein enhanced disease resistance 2,+
chr1,430987626,430990916,Niat3g_17037,Gata transcription factor 11,+
